AwaitReply__c,ClientsAddressed__c,CopyOtherClients__c,CustomPermission__c,Description__c,DeveloperName__c,From__c,Id,Name,Necessity__c,PartnerCopied__c,SendingProcess__c,Subject__c,Type__c
Await a reply,All,,EmailOperations,,ClientBankDetailsChasing,amy@novawm.com,a1VQz000003vbnpMAA,Chasing client bank details,Optional,Always,,,Service
Await a reply,All,,EmailOperations,,ChasingFormsSentToClientDirectFromCedingTransferProvider,amy@novawm.com,a1VQz000003vbnqMAA,Chasing forms sent to client direct from ceding transfer provider,Optional,Always,,,Service
Await a reply,All,,EmailOperations,,FormsToBeSentToClientViaPost,amy@novawm.com,a1VQz000003vbnrMAA,Forms to be sent to client via post,Optional,Always,,,Service
Await a reply,All,,EmailOperations,,FormsToBeSentViaPost,amy@novawm.com,a1VQz000003vbnsMAA,Forms to be sent via post,Optional,Always,,,Service
No reply expected,All,,EmailOperations,,TransferFormsReturnedAndUpdate,amy@novawm.com,a1VQz000003vbntMAA,Transfer forms returned and update,Optional,Always,,,Service
No reply expected,All,,EmailOperations,,BedIsaBedSippTransferComplete,amy@novawm.com,a1VQz000003vbnuMAA,Bed & ISA/Bed & SIPP transfer complete (portal clients),Optional,Always,,,Service
No reply expected,All,,EmailOperations,,ClientPaymentDetails,amy@novawm.com,a1VQz000003vbnvMAA,Client payment details (bank) - For clients with portal activated,Optional,Always,,,Service
No reply expected,All,,EmailOperations,,ClientPaymentReceivedPortalActivated,amy@novawm.com,a1VQz000003vbnwMAA,Client payment received - portal activated,Optional,Always,,,Service
Await a reply,All,,EmailOperations,,DocuSignFormsChasing,amy@novawm.com,a1VQz000003vbnxMAA,DocuSign forms - chasing,Optional,Always,,,Service
No reply expected,All,,EmailOperations,,DocuSignThankYou,amy@novawm.com,a1VQz000003vbnyMAA,DocuSign thank you,Optional,Always,,,Service
No reply expected,All,,EmailOperations,,LifeQuoteNextSteps,amy@novawm.com,a1VQz000003vbnzMAA,LifeQuote next steps,Optional,Always,,,Service
Await a reply,All,,EmailOperations,,ExistingProtectionAmendmentNotification,amy@novawm.com,a1VQz000003vbo0MAA,Existing protection amendment notification,Optional,Always,,,Service
No reply expected,All,,EmailOperations,,LoaThankYou,amy@novawm.com,a1VQz000003vbo1MAA,LoA thank you,Required,Always,,,Service
Await a reply,All,,EmailOperations,,AskingClientForPolicyInformation,amy@novawm.com,a1VQz000003vbo2MAA,Asking client for policy information (UNABLE TO LOA),Optional,Always,,,Service
Await a reply,All,,EmailOperations,,AskingClientToUpdatePersonalDetails,amy@novawm.com,a1VQz000003vbo3MAA,Asking client to update personal details with ceding provider for LOA,Optional,Always,,,Service
No reply expected,All,,EmailOperations,,AnnuityUnderwriting,amy@novawm.com,a1VQz000003vbo4MAA,Annuity underwriting - next steps email,Optional,Always,,,Service
No reply expected,All,,EmailOperations,,ScopeAccepted,amy@novawm.com,a1VQz000003vbo5MAA,Scope accepted - What next,Required,Always,,,Service
Await a reply,All,,EmailOperations,,ChaseLoasFromClient,amy@novawm.com,a1VQz000003vbo6MAA,Chase LoAs from client,Optional,Always,,,Service
Await a reply,All,,EmailOperations,,WorkBenefitsAndSalarySacrafice,amy@novawm.com,a1VQz000003vbo7MAA,Work benefits & salary sacrifice template (requesting info),Optional,Always,,,Service
Await a reply,All,,EmailOperations,,SendChaseFullProfile,amy@novawm.com,a1VQz000003vbo8MAA,Send / chase full profile,Optional,Always,,,Service
No reply expected,All,,EmailOperations,,FullQuestionnaireComplete,amy@novawm.com,a1VQz000003vbo9MAA,Full Questionnaire complete (thank you),Optional,Always,,,Service
Await a reply,User defined,,EmailOperations,,ChaseRiskQuestionnaire,amy@novawm.com,a1VQz000003vboAMAQ,Chase Risk Questionnaire,Optional,Always,,,Service
Await a reply,User defined,,EmailOperations,,ConfirmNationalityForAml,amy@novawm.com,a1VQz000003vboBMAQ,Confirm nationality for AML,Optional,Always,,,Service
No reply expected,User defined,,EmailOperations,,DbTriageDocumentSending,amy@novawm.com,a1VQz000003vboCMAQ,DB triage document sending,Optional,Always,,,Service
Await a reply,User defined,,EmailOperations,,ResignTobToObtainSignature,amy@novawm.com,a1VQz000003vboDMAQ,Re-sign TOB to obtain signature,Optional,Always,,,Service
Await a reply,User defined,,EmailOperations,,RequestingAmlDocsFromClients,amy@novawm.com,a1VQz000003vboEMAQ,Requesting AML docs from clients,Optional,Always,,,Service
No reply expected,All,,EmailOperations,,JuniorPolicyHolderToBecomeClient,amy@novawm.com,a1VQz000003vboFMAQ,Junior policy holder to become client,Optional,Always,,,Service
No reply expected,One only,,EmailOperations,Blank template for free typed messages,New_email_1731671932834,amy@novawm.com,a1VQz000003vboGMAQ,New email classic,Optional,Optional,,,Service
Await a reply,All,,EmailOperations,Investment transfer complete,Investment_transfer_complete_1730916362679,amy@novawm.com,a1VQz000003vboHMAQ,Investment transfer complete,Optional,Always,,,Service
No reply expected,User defined,,EmailOperations,New SIPP set up (Cancellation notice),New_SIPP_set_up_cancellation_notice_1730073179381,amy@novawm.com,a1VQz000003vboIMAQ,New SIPP set up (Cancellation notice),Optional,Always,,,Service
No reply expected,All,,EmailOperations,Sent to clients when data gathering has been completed,InformationRequestUpdateFinal,team@novawm.com,a1VQz000003vboJMAQ,Information Request Update Email Final,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Sent fortnightly to clients to keep them updated on the progress of data gathering,InformationRequestUpdateRegular,team@novawm.com,a1VQz000003vboKMAQ,Information Request Update Email Regular,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Email to client to chase tax year end payment,Chasing_TYE_Payments_1730918244893,amy@novawm.com,a1VQz000003vboLMAQ,Chasing TYE Payments,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Next steps for lifequote,LifeQuote_next_steps_1730072948801,amy@novawm.com,a1VQz000003vboMMAQ,LifeQuote next steps,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Client has advice a payment has been sent but is not yet visible on Hubwise,Payment_sent_but_not_visible_on_Hubwise_1730916068215,amy@novawm.com,a1VQz000003vboNMAQ,Payment sent but not visible on Hubwise,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Email to client asking to update their personal information so we can proceed with fulfilment,Update_personal_details_for_fulfilment_1730072470446,amy@novawm.com,a1VQz000003vboOMAQ,Update personal details for fulfilment,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Send annual review factfind,SendAnnualReviewFactFind,amy@novawm.com,a1VQz000003vboPMAQ,Send annual review factfind,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Email to client asking to update annual review profile,Email_to_client_to_update_annual_review_profile_1732876533749,amy@novawm.com,a1VQz000003vboQMAQ,Update annual review profile,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Email to client with review pack + link to book in catch up call,Off_process_Catch_up_call_not_booked_in_time_1732876728297,amy@novawm.com,a1VQz000003vboRMAQ,Catch up call not booked in time,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Email to client with review pack + to book in catch up call,Off_process_Profile_not_updated_in_time_1732876935204,amy@novawm.com,a1VQz000003vboSMAQ,Profile not updated in time,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Email to employer asking for payment details,Client_payment_details_for_employer_1735816503142,amy@novawm.com,a1VQz000003vboTMAQ,Client payment details - for employer,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Annual review - thank you for completing fact find and ask to book in catch up call,Annual_review_factfind_complete_1735816015794,amy@novawm.com,a1VQz000003vboUMAQ,Annual review factfind complete,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Client has advised us that payment has been sent but it’s not yet visible on Hubwise,Payment_sent_but_not_in_Hubwise_1735816354853,amy@novawm.com,a1VQz000003vboVMAQ,Payment sent but not in Hubwise,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Email to request client can confirm their withdrawal has been received,Client_withdrawal_confirmation_request_1735895489187,amy@novawm.com,a1VQz000003vboWMAQ,Request confirmation from client after withdrawal,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Email to confirm ISA allowances,Confirmation_of_Bed_ISA_1735895843307,amy@novawm.com,a1VQz000003vboXMAQ,Confirmation of Bed & ISA,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Email to confirm top up has been actioned,Client_servicing_top_ups_1735896186070,amy@novawm.com,a1VQz000003vboYMAQ,Client servicing - top ups,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Email to confirm direct debit has been amended,Direct_Debit_amendments_1735896421511,amy@novawm.com,a1VQz000003vboZMAQ,Direct Debit amendments,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Lifequote - Chase client to book in medical call/examination,Lifequote_Chase_client_to_book_in_medical_call_examination_1736149873088,amy@novawm.com,a1VQz000003vboaMAA,Lifequote - Chase client to book in medical call/examination,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Email with instructions on obtaining State Pension forecast),Email_with_instructions_on_obtaining_State_Pension_forecast_1736149491481,amy@novawm.com,a1VQz000003vbobMAA,Email with instructions on obtaining State Pension forecast),Optional,Always,,,Service
No reply expected,All,,EmailOperations,Client has advised us that they would like to cancel their regular payment,Response_to_client_request_to_cancel_NOVA_Direct_Debit_1736147753395,amy@novawm.com,a1VQz000003vbocMAA,Response to client request to cancel NOVA Direct Debit,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Corporate AML information request to Client (persons with significant control),Corporate_AML_information_request_to_Client_1736147966506,amy@novawm.com,a1VQz000003vbodMAA,Corporate AML information request to Client,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Corporate AML request to shareholders (persons with significant control),Corporate_AML_request_to_shareholders_1736148325675,amy@novawm.com,a1VQz000003vboeMAA,Corporate AML request to shareholders,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Final chaser - Client action required for transfer to progress,Final_chaser_Client_action_required_for_transfer_to_progress_1736148727468,amy@novawm.com,a1VQz000003vbofMAA,Final chaser - Client action required for transfer to progress,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Email to rebook a missed meeting (calendly),Email_to_rebook_a_missed_meeting_calendly_1736149269045,amy@novawm.com,a1VQz000003vbogMAA,Email to rebook a missed meeting (calendly),Optional,Always,,,Service
No reply expected,All,,EmailOperations,Email to OI for friends and family discount,Email_to_OI_for_friends_and_family_discount_1736149661357,amy@novawm.com,a1VQz000003vbohMAA,Email to OI for friends and family discount,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Email to confirm protection is in full force,Protection_in_force_1736150791167,amy@novawm.com,a1VQz000003vboiMAA,Protection in force,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Send profile template (for ad-hoc advice),Send_profile_template_for_ad_hoc_advice_1736152103324,amy@novawm.com,a1VQz000003vbojMAA,Ad hoc advice | Send profile template,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Send profile template - Final chaser (for ad-hoc advice),Send_profile_template_Final_chaser_for_ad_hoc_advice_1736152437200,amy@novawm.com,a1VQz000003vbokMAA,Ad hoc advice | Send profile template | Final chaser,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Email to client with pre-read review pack + link to book in ad-hoc advice meeting,Pre_read_review_pack_link_to_book_in_ad_hoc_advice_meeting_1736151280427,amy@novawm.com,a1VQz000003vbolMAA,Pre-read review pack + link to book in ad-hoc advice meeting,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Email to client to complete annual review fact find,Annual_review_fact_find_1736151510575,amy@novawm.com,a1VQz000003vbomMAA,Annual review fact find | Complete fact find,Optional,Always,,,Service
No reply expected,All,,EmailOperations,First chaser to complete annual review fact find. Send in the same email thread as initial request,Annual_review_fact_find_Chaser_1_1736151692977,amy@novawm.com,a1VQz000003vbonMAA,Annual review fact find | Chaser 1,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Final chaser to client to complete annual review fact find,Annual_review_fact_find_Final_Chaser_1736151850674,amy@novawm.com,a1VQz000003vbooMAA,Annual review fact find | Final Chaser,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Send profile template chaser 1 (for ad-hoc advice),Send_profile_template_chaser_1_for_ad_hoc_advice_1736152320520,amy@novawm.com,a1VQz000003vbopMAA,Ad hoc advice | Send profile template | Chaser 1,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Notification to client we have sent their redress payment from P&L,Notification_of_P_L_redress_from_Hubwise_1736176253159,amy@novawm.com,a1VQz000003vboqMAA,Notification of P&L redress from Hubwise,Optional,Always,,,Service
No reply expected,All,,EmailOperations,The next steps email that is sent to clients after they accept our advice. This email must be sent from a related case.,FulfilmentNextStepsCase,team@novawm.com,a1VQz000003vborMAA,Next Steps Case,Required,Always,,,Service
No reply expected,All,,EmailOperations,Ask clients for their policy information as we're unable to send LOA.,Asking_client_for_policy_information_UNABLE_TO_LOA_DFM_1736514533037,amy@novawm.com,a1VQz000003vbosMAA,Asking client for policy information (UNABLE TO LOA) - DFM,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Sending LOA to client for wet signature,Sending_LOA_to_client_for_wet_signature_1736515032488,amy@novawm.com,a1VQz000003vbotMAA,Sending LOA to client for wet signature,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Notifying client their documents have been uploaded for their onboarding advice,Portal_Documents_Advice_Onboarding_1736510902321,amy@novawm.com,a1VQz000003vbouMAA,Portal Documents | Advice | Onboarding,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Notifying client their documents are available in the portal for their retirement advice,Portal_Documents_Pre_retirement_call_No_action_1736513284734,amy@novawm.com,a1VQz000003vbovMAA,Portal Documents | Pre-retirement call | No action,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Advising client a new document has been uploaded to their portal,Portal_Documents_New_document_No_action_1736513525075,amy@novawm.com,a1VQz000003vbowMAA,Portal Documents | New document | No action,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Notifying client their advice documents are available in their portal including advice meeting,Portal_Documents_Advice_Follow_on_Presented_1736508628222,amy@novawm.com,a1VQz000003vboxMAA,Portal Documents | Advice | Follow on (Presented),Optional,Always,,,Service
No reply expected,All,,EmailOperations,Notifying client their advice documents are available in their portal for non presented advice,Portal_Documents_Advice_Follow_on_Non_Presented_1736508959688,amy@novawm.com,a1VQz000003vboyMAA,Portal Documents | Advice | Follow on (Non-Presented),Optional,Always,,,Service
No reply expected,All,,EmailOperations,Confirmation of direct debit set up,Confirmation_of_Direct_Debit_1738260191944,amy@novawm.com,a1VQz000003vbozMAA,Confirmation of Direct Debit,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Asking client to complete questionnaire sent by provider,Transfer_Questionnaire_FAQs_1738259775275,amy@novawm.com,a1VQz000003vbp0MAA,Transfer Questionnaire - FAQs,Optional,Always,,,Service
No reply expected,All,,EmailOperations,Asking clients to sign forms for information request sent in the post,Request_client_signature_for_information_request_1738260765717,amy@novawm.com,a1VQz000003vbp1MAA,Request client signature for information request,Required,Always,,,Service
Await a reply,All,,EmailOperations,3rd and final chaser on client action,Chasing_client_action_Chaser_3_1741700873334,amy@novawm.com,a1VQz000003vbp2MAA,Chasing client action | Chaser 3,Optional,Always,,,Service
Await a reply,All,,EmailOperations,1st chaser for client action,Chasing_client_action_Chaser_1_1741700689050,amy@novawm.com,a1VQz000003vbp3MAA,Chasing client action | Chaser 1,Optional,Always,,,Service
Await a reply,All,,EmailOperations,Confirm we have received funds from provider and request confirmation to proceed,Terms_received_standard_1742817547149,amy@novawm.com,a1VQz000003vbp4MAA,Terms received (standard),Optional,Always,,,Service
Await a reply,All,,EmailOperations,2nd chaser for client action,Chasing_client_action_Chaser_2_1741700794869,amy@novawm.com,a1VQz000003vbp5MAA,Chasing client action | Chaser 2,Optional,Always,,,Service
No reply expected,One only,ALWAYS,EmailOperations,Sent by Apex trigger when SIPP/JSIPP open product fulfilment reaches complete.,CancellationNotice,team@novawm.com,a1VQz000003zyK5MAI,Fulfilment | Cancellation notice,Required,Always,AUTOMATIC,NOVA Wealth - Your new SIPP,Service
No reply expected,One only,ALWAYS,EmailOperations,Sent by Apex trigger when SIPP/JSIPP external transfer in reaches payment received,PensionTransferCompleteAutomated,team@novawm.com,a1VQz0000042GKzMAM,Fulfilment | Transfer complete automated,Required,Always,AUTOMATIC,NOVA Wealth - Transfer complete,Service
No reply expected,One only,ALWAYS,EmailOperations,Sent by Apex trigger when SIPP/JSIPP open product fulfilment reaches complete.,CancellationNoticeJunior,team@novawm.com,a1VQz00000478jJMAQ,Fulfilment | Junior Cancellation notice,Required,Always,AUTOMATIC,NOVA Wealth - {childsname}'s new Junior SIPP,Service
