AdviceDeckDescription__c,AgeApplies__c,AppliesToPerson__c,AskToDisplayOnLifeline__c,AsktodisplayonTimeline__c,ConsiderFinancialImpact__c,Description__c,DeveloperName__c,FactCategory__c,FactCategory__r.DeveloperName__c,HasAmount__c,HasDate__c,Id,Name,NotesRequired__c,NovaId__c,PostCreateInstructions__c,Status__c,Transient__c,VulnerabilityCategory__c
,No,No,No,,No,"If a different inflation rate should be used than our default assumption, please specify with this fact.",INFLATION_RATE,a1DQz000003S8DxMAK,LIFELINE_ASSUMPTION,No,No,a1EQz000001NSchMAG,Inflation rate,Yes,a1E8e000000L0U4EAK,,Active,,
,Yes,Yes,Yes,,No,The standard assumption for age of long term care is 5 years before mortality age. Add the assumed age at which this person will go into long term care if not the same as our default assumptions.,LONG_TERM_CARE,a1DQz000003S8DxMAK,LIFELINE_ASSUMPTION,No,No,a1EQz000001NSciMAG,Long term care,Yes,a1E8e000000L0U5EAK,,Active,,
,Yes,Yes,No,,No,The standard assumption is 95 for men and 100 for women. Add this fact if we should use a different age.,MORTALITY_AGE,a1DQz000003S8DxMAK,LIFELINE_ASSUMPTION,No,No,a1EQz000001NScjMAG,Mortality age,Optional,a1E8e000000L0U6EAK,"If this has been changed due to something like a critical illness, please ensure the right people are aware and that we have logged a vulnerability.",Active,,
,Yes,No,No,,No,The current assumption to reduce spending is 75. Add this fact if we should model a reduction of spending at a different point on the lifeline.,REDUCED_SPENDING,a1DQz000003S8DxMAK,LIFELINE_ASSUMPTION,No,No,a1EQz000001NSckMAG,Reduced spending,Yes,a1E8e000000L0U7EAK,,Active,,
,No,No,No,,No,"If a different rate of salary increase should be used than our default assumption, please specify that here.",SALARY_RATE_OF_INCREASE,a1DQz000003S8DxMAK,LIFELINE_ASSUMPTION,No,No,a1EQz000001NSclMAG,Salary rate of increase,Yes,a1E8e000000L0U8EAK,,Active,,
,No,No,No,,No,Add this fact if the customer wishes to have values displayed on the y-axis of their timeline,DISPLAY_Y_AXIS_VALUES,a1DQz000003S8DxMAK,LIFELINE_ASSUMPTION,No,No,a1EQz000001NScmMAG,Display Y-Axis Values,No,a1E8e000000L0U9EAK,,Active,,
,No,Optional,No,,No,"Add any general notes about this person's career ambitions here. 

Do not capture specific career events and plans here. Use the events category for that.",LIFESTYLE_CAREER,a1DQz000003S8E0MAK,LIFESTYLE,No,No,a1EQz000001NScnMAG,Career,Yes,a1E8e000000L0UAEA0,,Active,,
,No,Optional,No,,No,"If you need to capture information about the wider family, do so with this fact.",EXTENDED_FAMILY,a1DQz000003S8E0MAK,LIFESTYLE,No,No,a1EQz000001NScoMAG,Extended family,Yes,a1E8e000000L0UBEA0,,Active,,
,No,Optional,No,,No,Use this to record what the client's hobbies.,HOBBIES,a1DQz000003S8E0MAK,LIFESTYLE,No,No,a1EQz000001NScpMAG,Hobbies,Yes,a1E8e000000L0UCEA0,,Active,,
,No,Optional,No,,No,Use this to record anything relevant to how the customer holidays.,HOLIDAYS,a1DQz000003S8E0MAK,LIFESTYLE,No,No,a1EQz000001NScqMAG,Holidays,Yes,a1E8e000000L0UDEA0,,Active,,
,No,Optional,No,,No,Use this to record what the general interests of the client.,INTERESTS,a1DQz000003S8E0MAK,LIFESTYLE,No,No,a1EQz000001NScrMAG,Interests,Yes,a1E8e000000L0UEEA0,,Active,,
,No,Optional,No,,No,Are there any charities or philanthropic activities close to the client's heart?,PHILANTHROPIC_CHARITY,a1DQz000003S8E0MAK,LIFESTYLE,No,No,a1EQz000001NScsMAG,Philanthropic - charity,Yes,a1E8e000000L0UFEA0,,Active,,
,No,Optional,No,,No,Capture information about customers' pets with this fact.,PETS,a1DQz000003S8E0MAK,LIFESTYLE,No,No,a1EQz000001NSctMAG,Pets,Yes,a1E8e000000L0UGEA0,,Active,,
,Optional,No,No,,No,"Add this fact if we need to be aware of any tax considerations that may impact future advice. E.g. CGT, PA Tapper, IHT... etc.",GENERAL_TAX_PLANNING,a1DQz000003S8DzMAK,OBJECTIVE,No,No,a1EQz000001NScuMAG,General tax planning,Yes,a1E8e000000L0UHEA0,,Active,,
,Optional,No,No,,No,Add this fact if the client has multiple policies they would like us to review with an objective of streamlining their financial affairs.,CONSOLIDATION,a1DQz000003S8DzMAK,OBJECTIVE,No,No,a1EQz000001NScvMAG,Consolidation,Yes,a1E8e000000L0UIEA0,,Active,,
,Optional,No,No,,No,Add this fact if the client has engaged with us if they have the majority of their wealth tied up in one asset. E.g. shares through an employer.,DIVERSIFICATION,a1DQz000003S8DzMAK,OBJECTIVE,No,No,a1EQz000001NScwMAG,Diversification,Yes,a1E8e000000L0UJEA0,,Active,,
,Optional,No,No,,No,"Add this fact if spending on family is the biggest priority e.g. school fees, childcare and assisting with property purchases",OBJECTIVES_FAMILY,a1DQz000003S8DzMAK,OBJECTIVE,No,No,a1EQz000001NScxMAG,Family,Yes,a1E8e000000L0UKEA0,,Active,,
,Optional,No,No,,No,"Add this fact if the client would like to see how their finances are performing and where we can improve things. E.g. asset performance, weighting of product types",GENERAL_REVIEW,a1DQz000003S8DzMAK,OBJECTIVE,No,No,a1EQz000001NScyMAG,General review,Yes,a1E8e000000L0ULEA0,,Active,,
,Optional,No,No,,No,Add this fact if the client has engaged with us to review their IHT position and would like our advice on tax efficient products and gifting.,OBJECTIVES_INHERITANCE_TAX_GIFTING,a1DQz000003S8DzMAK,OBJECTIVE,No,No,a1EQz000001NSczMAG,Inheritance Tax and Gifting,Yes,a1E8e000000L0UMEA0,,Active,,
,Optional,No,No,,No,Add this fact if the client would like us to help them implement a plan for retirement. E.g. drawdown,MAINTAIN_INCOME_IN_LATER_YEARS,a1DQz000003S8DzMAK,OBJECTIVE,No,No,a1EQz000001NSd0MAG,Maintain income in later years,Yes,a1E8e000000L0UNEA0,,Active,,
,Optional,No,No,,No,Add this fact if the client is engaging with us to save or invest surplus cash,MAKE_MONEY_WORK_HARDER,a1DQz000003S8DzMAK,OBJECTIVE,No,No,a1EQz000001NSd1MAG,Make money work harder,Yes,a1E8e000000L0UOEA0,,Active,,
,Optional,No,No,,No,Add this fact if the client is engaging with us to review their protection requirements,PROTECTING_WEALTH_AND_FAMILY_FOR_INSURANCE_PURPOSES,a1DQz000003S8DzMAK,OBJECTIVE,No,Optional,a1EQz000001NSd2MAG,Protecting wealth and family for insurance purposes,Yes,a1E8e000000L0UPEA0,,Active,,
,Optional,No,No,,No,Add this fact if the client is engaging with us to establish tax efficient structures to pass on wealth to family.,PROTECTING_FAMILY_WEALTH_IN_TRUSTS,a1DQz000003S8DzMAK,OBJECTIVE,No,Optional,a1EQz000001NSd3MAG,Protecting family wealth in Trusts,Yes,a1E8e000000L0UQEA0,,Active,,
,No,Yes,No,,No,The client's goal is to build their wealth.,WEALTH_ACCUMULATION,a1DQz000003S8DzMAK,OBJECTIVE,No,No,a1EQz000001NSd4MAG,Wealth accumulation,Yes,a1E8e000000L0UREA0,,Active,,
,No,No,No,,No,Advice on where to save right now to achieve desired retirement age and lifestyle,SAVING_FOR_RETIREMENT,a1DQz000003S8DzMAK,OBJECTIVE,Optional,No,a1EQz000001NSd5MAG,Saving for retirement,Yes,a1E8e000000L0USEA0,,Active,,
,No,Yes,No,,No,Add if the person is suffering a bereavement.,BEREAVEMENT,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NSd6MAG,Bereavement,Yes,a1E8e000000L0UTEA0,"Please ensure the right people at OW are informed, such as the partner and any planners or specialists that are working on open advice or tasks. 

Consider if other facts need to be added like a windfall one and whether we need to start the deceased customer process for someone else.",Active,,Life events
,No,Yes,No,,No,Add if the person has disclosed that or we believe that they are financially illiterate or lack understanding of the advice we provide.,LOW_KNOWLEDGE_OR_CONFIDENCE_IN_MANAGING_FINANCES,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NSd7MAG,Low knowledge or confidence in managing finances,Yes,a1E8e000000L0UUEA0,"Please ensure the right people at OW are informed, such as the partner and any planners or specialists that are working on open advice or tasks.",Active,,Capability
,No,Yes,No,,No,"Add if the person has disclosed and agreed to us capturing details of a current or history of addiction. 

Please specify the type of addiction in the notes.",ADDICTION,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NSd8MAG,Addiction,Yes,a1E8e000000L0UVEA0,"Please ensure the right people at OW are informed, such as the partner and any planners or specialists that are working on open advice or tasks.",Active,,Health
,No,Yes,No,,No,"Add if this person has a health issue or disability that we should be aware of. 

Please add a fact per health issue.",DISABILITY,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NSd9MAG,Disability,Yes,a1E8e000000L0UWEA0,"Please ensure the right people at OW are informed, such as the partner and any planners or specialists that are working on open advice or tasks. 

Consider adding and updating other facts too. For example, a terminal illness might mean we want to change mortality age assumptions if we are still preparing advice.",Inactive,,
,No,Yes,No,,No,Add if this person is vulnerable due to relationship issues.,RELATIONSHIP_BREAKDOWN,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NSdAMAW,Relationship Breakdown,Yes,a1E8e000000L0UXEA0,"Please ensure the right people at OW are informed, such as the partner and any planners or specialists that are working on open advice or tasks. 

Consider adding other facts too. For example, in a divorce where both people are clients, we should add a vulnerability fact for both.",Active,,Life events
,No,Yes,No,,No,Add if this person is vulnerable due to a long term illness.,SEVERE_OR_LONGTERM_ILLNESS,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NSdBMAW,Severe or long-term illness,Yes,a1E8e000000L0UYEA0,,Active,,Health
,No,Yes,No,,No,Add this if person has a hearing or visual impairment,HEARING_OR_VISUAL_IMPAIRMENT,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NSdCMAW,Hearing or Visual Impairment,Yes,a1E8e000000L0UZEA0,,Active,,Health
,No,Yes,No,,No,Add this if person has any physical disabilities,PHYSICAL_DISABILITY,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NSdDMAW,Physical Disability,Yes,a1E8e000000L0UaEAK,,Active,,Health
,No,Yes,No,,No,"Add this if person is experiencing any financial difficulty, including a significant decrease in income, unstable income where outgoings exceed incoming, or unpredictable income.",FINANCIAL_DIFFICULTY_INCLUDING_INADEQUATE_OR_ERRATIC_INCOME,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NSdEMAW,Financial Difficulty including inadequate or erratic income,Yes,a1E8e000000L0UbEAK,,Active,,Resilience
,No,Yes,No,,No,"Add this if person has suffered any domestic abuse, including economic control",DOMESTIC_ABUSE_INCLUDING_ECONOMIC_CONTROL,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NSdFMAW,Domestic Abuse (including economic control),Yes,a1E8e000000L0UcEAK,key thing is in relation to how we protect their PII data such as address and 3rd parties they hold accounts with,Active,,Life events
,No,Yes,No,,No,Add this if the person has any caring responsibilities that may affect their financial decision making,CARING_RESPONSIBILITIES,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NSdGMAW,Caring Responsibilities,Yes,a1E8e000000L0UdEAK,,Active,,Life events
,No,Yes,No,,No,The client does not have the financial ability to pay all their monthly debt repayments by the end of the month.,OVERINDEBTEDNESS,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NSdHMAW,Over-indebtedness,Yes,a1E8e000000L0UeEAK,"Ensure planner is aware and can build into the advice. 

Also, consider if we should ask if they need help with their mortgage and this may be a key reason for their situation.",Active,,Resilience
,No,Yes,No,,No,"Add if this client struggles to fill out forms, read instructions or mathematically challenged.",POOR_LITERACY_OR_NUMERACY_SKILLS,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NSdIMAW,Poor literacy or numeracy skills,Yes,a1E8e000000L0UfEAK,"Inform partner and planner. Make sure they understand this is considered in any communication and advice we give 

For ops, this should be considered for tailoring or additional explanation of comms",Active,,Capability
,No,Yes,No,,No,Add if this client is not fluent in English as it's not their first language.,POOR_ENGLISH_LANGUAGE_SKILLS,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NSdJMAW,Poor English language skills,Yes,a1E8e000000L0UgEAK,"Inform partner and planner. Make sure they understand this is considered in any communication and advice we give 

For ops, this should be considered for tailoring or additional explanation of comms",Active,,Capability
,No,Yes,No,,No,Add if the client has limited knowledge of or access to utilise digital technologies.,POOR_OR_NONEXISTENT_DIGITAL_SKILLS,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NSdKMAW,Poor or non-existent digital skills,Yes,a1E8e000000L0UhEAK,"Inform partner and planner. Make sure they understand this is considered in any communication and advice we give. Advisor should make sure it is communicated clearly to the client that we are a digital business. 

For ops, this should be considered for tailoring or additional explanation of comms",Active,,Capability
,No,Yes,No,,No,Used to flag if it has been flagged to us that the client has learning difficulties.,LEARNING_DIFFICULTIES,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NSdLMAW,Learning difficulties,Yes,a1E8e000000L0UiEAK,"Make sure we are using clear and simple language and everything is communicated to the client. 

Consider if the client should have a representative in our meetings.",Active,,Capability
,No,Yes,No,,No,If the client has no or low access to help or support.,NO_OR_LOW_ACCESS_TO_HELP_OR_SUPPORT,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NSdMMAW,No or low access to help or support,Yes,a1E8e000000L0UjEAK,Ensure expression of wishes forms are done.,Active,,Capability
,No,Yes,No,,No,"Add if any life events could potentially have an effect on the person's ability to make financial decisions. E.g. leaving care, migration or seeking asylum, human trafficking, modern slavery or convictions",OTHER_LIFE_EVENTS,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NSdNMAW,Other life events,Yes,a1E8e000000L0UkEAK,If there are any concern please escalate to management or head of compliance.,Active,,Life events
,No,No,No,,No,Add if a member of this household is also an employee of OW.,EMPLOYEES_OF_OW,a1DQz000003S8DvMAK,CONFLICT_OF_INTEREST,No,No,a1EQz000001NSdOMAW,Employees of OW,Yes,a1E8e000000L0UlEAK,Raise a request on Chatter to have the household restricted. Tag Cian and Joseph.,Active,,
,No,Yes,No,,No,We have received an LOA request from a third party in relation to this client.,LOA'D_BY_THIRD_PARTY,a1DQz000003S8DtMAK,COMPLIANCE,No,Yes,a1EQz000001NSdPMAW,LOA'd by third party,Yes,a1E8e000000L0UmEAK,Please raise this with the Partner. It may be a good idea to understand why they have chosen to take out a new policy.,Active,,
,No,Yes,No,,No,The client lives or has connections to a high risk country. We should consider the type of advice being provided. E.g. high levels of cash vs setting up protection policies.,HTAR,a1DQz000003S8DtMAK,COMPLIANCE,No,No,a1EQz000001NSdQMAW,HTAR,Yes,a1E8e000000L0UnEAK,If you have any concerns please raise with head of compliance.,Active,,
,No,No,No,,No,Record the customer's source of wealth here,SOURCE_OF_WEALTH,a1DQz000003S8DtMAK,COMPLIANCE,No,No,a1EQz000001NSdRMAW,Source of wealth,Yes,a1E8e000000L0UoEAK,"If you have any concerns, please raise with Joseph.",Active,,
,No,No,No,,No,Someone in the company is a beneficiary of a trust we are advising or setting up as part of the advice.,BENEFICIARY_TO_TRUST,a1DQz000003S8DvMAK,CONFLICT_OF_INTEREST,No,No,a1EQz000001NSdSMAW,Beneficiary to trust,Yes,a1E8e000000L0UpEAK,Raise with Joseph so he can approve working with this client.,Active,,
,No,No,No,,No,Add if the client is a family member of anyone at the company.,FAMILY_MEMBER,a1DQz000003S8DvMAK,CONFLICT_OF_INTEREST,No,No,a1EQz000001NSdTMAW,Family member,Yes,a1E8e000000L0UqEAK,Raise a request on Chatter to have the household restricted. Tag Cian and Joseph.,Active,,
,No,No,No,,No,Add if the client is a friend of anyone at the company.,FRIEND,a1DQz000003S8DvMAK,CONFLICT_OF_INTEREST,No,No,a1EQz000001NSdUMAW,Friend,Yes,a1E8e000000L0UrEAK,Raise with Joseph so he can approve working with this client.,Active,,
,No,Yes,No,,No,"Add this fact if there are any preferences to how we are engaging with this client through email. E.g. Always copy in partner, do not email mother.",EMAIL_PREFERENCES,a1DQz000003S8E1MAK,CONTACT_PREFERENCE,No,No,a1EQz000001NSdVMAW,Email preferences,Yes,a1E8e000000L0UsEAK,,Active,,
,No,Yes,No,,No,Add this fact if there are any preferences to how we are engaging with this client through phone. E.g. do not phone mother.,PHONE_PREFERENCES,a1DQz000003S8E1MAK,CONTACT_PREFERENCE,No,No,a1EQz000001NSdWMAW,Phone preferences,Yes,a1E8e000000L0UtEAK,,Active,,
,No,Yes,No,,No,Add if the customer has a preference for a particular contact method.,PREFERRED_CONTACT_METHOD,a1DQz000003S8E1MAK,CONTACT_PREFERENCE,No,No,a1EQz000001NSdXMAW,Preferred contact method,Yes,a1E8e000000L0UuEAK,,Active,,
,No,Yes,No,,No,Add if the customer has a preference for when they meet.,PREFERRED_TIMES_TO_MEET,a1DQz000003S8E1MAK,CONTACT_PREFERENCE,No,No,a1EQz000001NSdYMAW,Preferred times to meet,Yes,a1E8e000000L0UvEAK,,Active,,
,No,Optional,Yes,,Yes,"Add this fact if the customer plans a specific purchase with as much detail as possible including any large purchases such as a house, car, holidays, etc.
Add one fact per purchase. If the purchase is joint, don't link it to a specific person.",BUY_OR_PAY_FOR_SOMETHING,a1DQz000003S8DyMAK,EVENT,Yes,Yes,a1EQz000001NSdZMAW,Buy or Pay for Something,Yes,a1E8e000000L0UwEAK,,Active,,
,No,Optional,Yes,,Yes,"Please specify in the notes if the gifting is one-off or regular. 

If the gifting is a one-off, please add a date. 

Please add one fact per item of gifting that the customer will do, not one row overall.",GIFTING,a1DQz000003S8DyMAK,EVENT,Yes,Optional,a1EQz000001NSdaMAG,Gifting,Yes,a1E8e000000L0UxEAK,,Active,,
,Optional,Yes,Yes,,Yes,"Use this to model career events like a change in job or position, a payrise, or going part time. 

Please ensure you've provided all relevant detail in the notes.",EVENTS_CAREER,a1DQz000003S8DyMAK,EVENT,No,Yes,a1EQz000001NSdbMAG,Career,Yes,a1E8e000000L0UyEAK,,Active,,
,No,No,Yes,,Yes,"If there are specific family plans like having children, please capture these here.",EVENTS_FAMILY,a1DQz000003S8DyMAK,EVENT,No,Yes,a1EQz000001NSdcMAG,Family,Yes,a1E8e000000L0UzEAK,,Active,,
,No,Optional,Yes,,Yes,"Add this fact if the customer plans to sell an asset, providing as much detail as possible. 

Add one fact per sale. If the sale relates to multiple people in the household, don't link to a specific person.",SELL_SOMETHING,a1DQz000003S8DyMAK,EVENT,Yes,Yes,a1EQz000001NSddMAG,Sell something,Yes,a1E8e000000L0V0EAK,,Active,,
,No,Yes,No,,No,Has the client expressed an interest in environmental or ethical investing?,SUSTAINABLE,a1DQz000003S8DwMAK,INVESTMENT_PREFERENCE,No,No,a1EQz000001NSdeMAG,Sustainable,Yes,a1E8e000000L0V1EAK,"If you are adding this information and there is ongoing advice, please ensure the appropriate planner is informed",Active,,
,No,Yes,No,,No,"Does the client have views on which industries they are invested in? For example, do they want to avoid any tobacco firms?

Please add a fact per industry.",INDUSTRY,a1DQz000003S8DwMAK,INVESTMENT_PREFERENCE,No,No,a1EQz000001NSdfMAG,Industry,Yes,a1E8e000000L0V2EAK,"If you are adding this information and there is ongoing advice, please ensure the appropriate planner is informed.",Active,,
,No,Yes,No,,No,How the client feels about earning interest. Interested in faith based investing e.g. earning interest on cash or investments.,INTEREST,a1DQz000003S8DwMAK,INVESTMENT_PREFERENCE,No,No,a1EQz000001NSdgMAG,Interest,Yes,a1E8e000000L0V3EAK,"If you are adding this information and there is ongoing advice, please ensure the appropriate planner is informed.",Active,,
,No,Yes,No,,No,"Does the client have views on where their money is invested geographically speaking?

Please add a fact per regional preference.",REGIONAL,a1DQz000003S8DwMAK,INVESTMENT_PREFERENCE,No,No,a1EQz000001NSdhMAG,Regional,Yes,a1E8e000000L0V4EAK,"If you are adding this information and there is ongoing advice, please ensure the appropriate planner is informed",Active,,
,No,Yes,No,,No,Does the client have views on how they invest tied to religious beliefs?,RELIGIOUS,a1DQz000003S8DwMAK,INVESTMENT_PREFERENCE,No,No,a1EQz000001NSdiMAG,Religious,Yes,a1E8e000000L0V5EAK,"If you are adding this information and there is ongoing advice, please ensure the appropriate planner is informed",Active,,
,No,Yes,No,,No,Add if this person has disclosed mental health condition we should be aware of.,MENTAL_HEALTH_CONDITION_OR_DISABILITY,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NSdjMAG,Mental Health Condition or disability,Yes,a1E8e000000L0V6EAK,"Please ensure the right people at OW are informed, such as the partner and any planners or specialists that are working on open advice or tasks.

Please be mindful with any communications we send out.",Active,Permanent,Health
,No,No,Yes,,Yes,"Use this fact to record any variations to the assumptions on school or uni fees we're making in the future. To model no fees, leave the amount blank. To record a child's current school fees please use the costs of education field on the Child's record.",EDUCATION_FEES,a1DQz000003S8DxMAK,LIFELINE_ASSUMPTION,Optional,No,a1EQz000001NSdkMAG,Education Fees,Yes,a1E8e000000L0WUEA0,,Active,,
,No,No,Yes,,Yes,"Add this to log something the client is interested in purchasing as a future objective e.g. buy a house, traveling etc.",SAVING_FOR_SOMETHING,a1DQz000003S8DzMAK,OBJECTIVE,Optional,Optional,a1EQz000001NSdlMAG,Saving for something,Yes,a1E8e000000L0WoEAK,,Active,,
,No,No,No,,No,"Use to include or exclude something specific from the lifeline. This could be people, assets, products, liabilities, etc. E.g. 'Include people and assets from another household', or 'Exclude partners' assets and products from the lifeline'",FINANCIAL_ACCOUNTS_PEOPLE_TO_INCLUDE_EXCLUDE_ON_LIFELINE,a1DQz000003S8DxMAK,LIFELINE_ASSUMPTION,No,No,a1EQz000001NSdmMAG,Financial Accounts/People to include/exclude on Lifeline,Yes,a1E8e000000c9bFEAQ,,Active,,
,No,No,No,,No,"Add if both parties will remain as clients through the divorce. Each person will be looked after by separate partners, planners, and operations teams to avoid any conflict.",DIVORCE,a1DQz000003S8DvMAK,CONFLICT_OF_INTEREST,No,No,a1EQz000001NSdnMAG,Divorce,Yes,a1E8e000000c9bKEAQ,"Please be mindful when discussing aspects of this client across the business. 

This has now been submitted for approval to Joseph.",Active,,
,No,No,No,,No,A member of this household hold shares in Octopus Group.,OCTOPUS_SHAREHOLDER,a1DQz000003S8DvMAK,CONFLICT_OF_INTEREST,No,No,a1EQz000001NSdoMAG,Octopus Shareholder,Yes,a1E8e000000c9eJEAQ,This will be sent to Joseph for approval,Active,,
,No,Optional,Yes,,Yes,,OBJECTIVES_CAREER,a1DQz000003S8DzMAK,OBJECTIVE,Optional,No,a1EQz000001NSdpMAG,Career,Yes,a1E8e000000cAIwEAM,,Active,,
,No,Optional,No,,Yes,Record anything here that will affect a person's National Insurance record,NATIONAL_INSURANCE_CONTRIBUTIONS,a1DQz000003S8DsMAK,PERSONAL_FINANCES,No,No,a1EQz000001NSdqMAG,National Insurance Contributions,Yes,a1E8e000000cAJuEAM,,Active,,
,No,Optional,No,,Yes,To record the amount of cash a client likes to hold,PREFERRED_CASH_BUFFER,a1DQz000003S8DsMAK,PERSONAL_FINANCES,No,No,a1EQz000001NSdrMAG,Preferred Cash Buffer,Yes,a1E8e000000cAKdEAM,,Active,,
,No,Optional,No,,No,To record if we have received consent from the client to share their information with the accountant we have on file. Use the date to record when we received the confirmation and link to the person applicable.,SHARE_TAX_INFORMATION_WITH_ACCOUNTANT,a1DQz000003S8E1MAK,CONTACT_PREFERENCE,No,Yes,a1EQz000001NSdsMAG,Share tax information with accountant,Yes,,,Active,,
,No,Yes,No,,No,Used to record when a client has had US connections that have been revoked or to record important notes regarding a clients' US connection and the impact on our ability to give them advice,US_TIES,a1DQz000003S8DtMAK,COMPLIANCE,No,No,a1EQz000001NSdtMAG,US Ties,Yes,,,Active,,
,No,Yes,No,,No,To capture a person's financial motivations and values.,WHAT_DOES_MONEY_MEAN_TO_YOU,a1DQz000003S8E2MAK,MONEY_AND_VALUES,No,No,a1EQz000001NSduMAG,What does money mean to you?,Yes,,,Active,,
,No,Yes,No,,No,"Examples of this would be growing up, or major event like children or divorce",HOW_HAS_YOUR_RELATIONSHIP_WITH_MONEY_CHANGED_OVER_TIME,a1DQz000003S8E2MAK,MONEY_AND_VALUES,No,No,a1EQz000001NSdvMAG,How has your relationship with money changed over time?,Yes,,,Active,,
,No,Yes,No,,No,A persons perspective on debt,ATTITUDE_TOWARDS_DEBT,a1DQz000003S8E2MAK,MONEY_AND_VALUES,No,No,a1EQz000001NSdwMAG,Attitude towards debt,Yes,,,Active,,
