CanBeHeldInAPension__c,CanBeHeldInTrust__c,CanProvideIncome__c,Category__c,DescriptionCustomer__c,DescriptionInternal__c,DeveloperName__c,DisplayInPortal__c,HasAnnualEarnings__c,HasAPurchaseValue__c,HasRelatedLiability__c,HasRetainedEarnings__c,Id,Name,NeedsFurtherDescription__c,SortOrder__c
Mandatory,Mandatory,Never,Business,,"Non-physical assets. If you have one of these, you'll know.",INTELLECTUAL_PROPERTY_PATENT_OR_LICENSING_RIGHTS,Never,Never,Optional,Optional,Optional,INTELLECTUAL_PROPERTY_PATENT_OR_LICENSING_RIGHTS,"Intellectual property, patent or licensing rights",Optional,
Never,Never,Ask if we need it,Vehicles,,"Any car that you own, whether for day to day use or a classic sports car.",CAR,,Never,Optional,Optional,Never,CAR,Car,Optional,
Never,Never,Ask if we need it,Vehicles,,"Any motorcycle that you own, whether for day to day use or a classic sports car.",MOTORCYCLE,,Never,Optional,Optional,Never,MOTORCYCLE,Motorcycle,Optional,
Never,Never,Ask if we need it,Vehicles,,Any bicycle you own with significant value.,BICYCLE,,Never,Optional,Optional,Never,BICYCLE,Bicycle,Optional,
Never,Never,Ask if we need it,Vehicles,,Any caravan that you own.,CARAVAN,,Never,Optional,Optional,Never,CARAVAN,Caravan,Optional,
Never,Mandatory,Ask if we need it,Vehicles,,Any boat that you own.,BOAT,,Never,Optional,Optional,Never,BOAT,Boat,Optional,
Never,Mandatory,Ask if we need it,Vehicles,,Any plane that you own.,PLANE,,Never,Optional,Optional,Never,PLANE,Plane,Optional,
Never,Mandatory,Ask if we need it,Vehicles,,Any horsebox that you own with significant value.,HORSEBOX,,Never,Optional,Optional,Never,HORSEBOX,Horsebox,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any art that you own with significant value.,ART,,Never,Optional,Optional,Never,ART,Art,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any gold that you own with significant value.,GOLD,,Never,Optional,Optional,Never,GOLD,Gold,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any jewellery that you own with significant value.,JEWELLERY,,Never,Optional,Optional,Never,JEWELLERY,Jewellery,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any watch that you own with significant value.,WATCH,,Never,Optional,Optional,Never,WATCH,Watch,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any wine that you own with significant value.,WINE,,Never,Optional,Optional,Never,WINE,Wine,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any private collection that you own with significant value.,COLLECTION,,Never,Optional,Optional,Never,COLLECTION,Collection,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any antique that you own with significant value.,ANTIQUE,,Never,Optional,Optional,Never,ANTIQUE,Antique,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any whiskey that you own with significant value.,WHISKEY,,Never,Optional,Optional,Never,WHISKEY,Whiskey,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any instrument that you own with significant value.,MUSICAL_INSTRUMENT,,Never,Optional,Optional,Never,MUSICAL_INSTRUMENT,Musical instrument,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any tech / gadgets that you own with significant value.,TECHNOLOGY,,Never,Optional,Optional,Never,TECHNOLOGY,Tech,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any other item which has signifcant value.,OTHER_VALUABLE_OBJECT,,Never,Optional,Optional,Never,OTHER_VALUABLE_OBJECT,Other valuable object,Optional,
Mandatory,Mandatory,Ask if we need it,Objects,,Any foreign currency which you hold in the UK or abroad.,FOREIGN_CURRENCY,,Never,Optional,Optional,Never,FOREIGN_CURRENCY,Foreign Currency,Optional,
Never,Mandatory,Ask if we need it,Objects,,Any cryptocurrency which you own.,CRYPTOCURRENCY,,Never,Optional,Optional,Never,CRYPTOCURRENCY,Cryptocurrency,Optional,
Never,Mandatory,Ask if we need it,Objects,,"Any crypto assets aside from cryptocurrency, e.g. NFTs",CRYPTO_ASSETS,,Never,Optional,Optional,Never,CRYPTO_ASSETS,Crypto assets,Optional,
Mandatory,Never,Ask if we need it,Loan,,Any loans you have personally made to individuals or businesses of significant value.,FAMILY_LOAN,,Never,Never,Never,Never,FAMILY_LOAN,Family loan,Optional,
